danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.65,0.985,5,-14.404,0,0.0445,0.00872,0.00422000,0.0485,0.757,141.047,audio_features,7voHUmPNDuYZ1SW1mwRu26,spotify:track:7voHUmPNDuYZ1SW1mwRu26,https://api.spotify.com/v1/tracks/7voHUmPNDuYZ1SW1mwRu26,https://api.spotify.com/v1/audio-analysis/7voHUmPNDuYZ1SW1mwRu26,224221,4
0.702,0.953,7,-6.347,0,0.0473,0.0113,0.00193000,0.266,0.507,134.027,audio_features,4Fqm5rqB0WMx0hPOwgRjFr,spotify:track:4Fqm5rqB0WMx0hPOwgRjFr,https://api.spotify.com/v1/tracks/4Fqm5rqB0WMx0hPOwgRjFr,https://api.spotify.com/v1/audio-analysis/4Fqm5rqB0WMx0hPOwgRjFr,264000,4
0.863,0.781,5,-8.546,0,0.0785,0.0394,0.00029200,0.125,0.764,122.938,audio_features,6dHTkQYY3zdR9i9Nj0IGVW,spotify:track:6dHTkQYY3zdR9i9Nj0IGVW,https://api.spotify.com/v1/tracks/6dHTkQYY3zdR9i9Nj0IGVW,https://api.spotify.com/v1/audio-analysis/6dHTkQYY3zdR9i9Nj0IGVW,230760,4
0.672,0.941,9,-6.427,0,0.0494,0.0276,0.92600000,0.149,0.754,130.218,audio_features,1CgbwsrNDlFrRuk2ebQ7zr,spotify:track:1CgbwsrNDlFrRuk2ebQ7zr,https://api.spotify.com/v1/tracks/1CgbwsrNDlFrRuk2ebQ7zr,https://api.spotify.com/v1/audio-analysis/1CgbwsrNDlFrRuk2ebQ7zr,193880,4
0.849,0.875,0,-6.236,1,0.03,0.0947,0.02130000,0.364,0.898,130.013,audio_features,4IiKITgHYaHrF1zUlcTyVH,spotify:track:4IiKITgHYaHrF1zUlcTyVH,https://api.spotify.com/v1/tracks/4IiKITgHYaHrF1zUlcTyVH,https://api.spotify.com/v1/audio-analysis/4IiKITgHYaHrF1zUlcTyVH,230933,4
0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152000,0.0785,0.825,127.002,audio_features,0ZqveF2rEFlz2oqF2xrriP,spotify:track:0ZqveF2rEFlz2oqF2xrriP,https://api.spotify.com/v1/tracks/0ZqveF2rEFlz2oqF2xrriP,https://api.spotify.com/v1/audio-analysis/0ZqveF2rEFlz2oqF2xrriP,285427,4
0.786,0.876,1,-4.899,1,0.0362,0.0114,0.00078400,0.0796,0.966,103.983,audio_features,6trzHhvr6xqYJkNnbWwXz2,spotify:track:6trzHhvr6xqYJkNnbWwXz2,https://api.spotify.com/v1/tracks/6trzHhvr6xqYJkNnbWwXz2,https://api.spotify.com/v1/audio-analysis/6trzHhvr6xqYJkNnbWwXz2,217539,4
0.703,0.8,0,-11.645,0,0.054,0.145,0.00021200,0.0683,0.466,139.968,audio_features,6EBDmMZBQkWrj7jWlGhFU1,spotify:track:6EBDmMZBQkWrj7jWlGhFU1,https://api.spotify.com/v1/tracks/6EBDmMZBQkWrj7jWlGhFU1,https://api.spotify.com/v1/audio-analysis/6EBDmMZBQkWrj7jWlGhFU1,203440,4
0.813,0.882,7,-7.575,1,0.0402,0.0908,0.00457000,0.147,0.874,125.983,audio_features,3pEuO9J2MTEmec8kUfYYvl,spotify:track:3pEuO9J2MTEmec8kUfYYvl,https://api.spotify.com/v1/tracks/3pEuO9J2MTEmec8kUfYYvl,https://api.spotify.com/v1/audio-analysis/3pEuO9J2MTEmec8kUfYYvl,236933,4
0.764,0.713,2,-8.9,0,0.0311,0.128,0.00058000,0.145,0.67,132.993,audio_features,2foOeJLKSvepjHEkb4NR8N,spotify:track:2foOeJLKSvepjHEkb4NR8N,https://api.spotify.com/v1/tracks/2foOeJLKSvepjHEkb4NR8N,https://api.spotify.com/v1/audio-analysis/2foOeJLKSvepjHEkb4NR8N,260973,4
